datetime_utc, _conds, _dewptm, _fog, _hail, _heatindexm, _hum, _precipm, _pressurem, _rain, _snow, _tempm, _thunder, _tornado, _vism, _wdird, _wdire, _wgustm, _windchillm, _wspdm
19961106-15:00,Smoke,10,0,0,,56,,1013,0,0,19,0,0,,0,North,,,
19961106-17:00,Smoke,10,0,0,,56,,1013,0,0,19,0,0,,0,North,,,
19961106-18:00,Smoke,10,0,0,,56,,1013,0,0,19,0,0,,0,North,,,
19961106-19:00,Smoke,10,0,0,,59,,1013,0,0,18,0,0,,0,North,,,
19961106-20:00,Smoke,11,0,0,,68,,1012,0,0,17,0,0,2,0,North,,,0
19961106-21:00,Smoke,11,0,0,,72,,1012,0,0,16,0,0,2,0,North,,,0
19961106-22:00,Smoke,11,0,0,,72,,1012,0,0,16,0,0,2,0,North,,,0
19961106-23:00,Smoke,11,0,0,,77,,1012,0,0,15,0,0,1.7,0,North,,,0
19961107-00:00,Smoke,11,0,0,,77,,1012,0,0,15,0,0,1.5,0,North,,,0
19961107-01:00,Smoke,11,0,0,,68,,1013,0,0,17,0,0,1.5,230,SW,,,5.6
19961107-02:00,Smoke,10,0,0,,59,,1014,0,0,18,0,0,1.7,0,North,,,0
19961107-03:00,Smoke,12,0,0,,64,,1015,0,0,19,0,0,2.2,270,West,,,5.6
19961107-04:00,Smoke,13,0,0,,53,,1015,0,0,23,0,0,2.5,260,West,,,9.3
19961107-05:00,Smoke,13,0,0,,47,,1015,0,0,25,0,0,3,280,West,,,13
19961107-06:00,Smoke,11,0,0,,37,,1014,0,0,27,0,0,4,290,WNW,,,7.4
19961107-07:00,Clear,11,0,0,,33,,1013,0,0,29,0,0,6,290,WNW,,,5.6
19961107-08:00,Clear,8,0,0,,27,,1012,0,0,29,0,0,6,300,WNW,,,13
19961107-09:00,Clear,8,0,0,,25,,1012,0,0,30,0,0,6,300,WNW,,,7.4
19961107-10:00,Smoke,7,0,0,,23,,1012,0,0,30,0,0,5,310,NW,,,5.6
19961107-11:00,Smoke,7,0,0,,25,,1012,0,0,29,0,0,4.5,300,WNW,,,5.6
19961107-12:00,Smoke,9,0,0,,36,,1013,0,0,25,0,0,3,0,North,,,0
19961107-13:00,Smoke,9,0,0,,38,,1013,0,0,24,0,0,2.2,0,North,,,0
19961107-14:00,Smoke,10,0,0,,46,,1014,0,0,22,0,0,1.5,0,North,,,0
19961107-15:00,Smoke,9,0,0,,49,,1014,0,0,20,0,0,1.5,0,North,,,0
19961107-16:00,Smoke,9,0,0,,52,,1014,0,0,19,0,0,1.5,0,North,,,0
19961107-17:00,Smoke,9,0,0,,52,,1014,0,0,19,0,0,1.5,0,North,,,0
19961107-18:00,Smoke,8,0,0,,49,,1014,0,0,19,0,0,1.5,0,North,,,0
19961107-19:00,Smoke,8,0,0,,52,,1014,0,0,18,0,0,1.5,0,North,,,0
19961107-20:00,Smoke,9,0,0,,59,,1014,0,0,17,0,0,1.4,0,North,,,0
19961107-21:00,Smoke,9,0,0,,59,,1013,0,0,17,0,0,1.4,0,North,,,0
19961107-22:00,Smoke,8,0,0,,59,,1013,0,0,16,0,0,,0,North,,,
19961107-23:00,Smoke,8,0,0,,63,,1013,0,0,15,0,0,2,0,North,,,0
19961108-00:00,Smoke,7,0,0,,59,,1014,0,0,15,0,0,2,220,SW,,,5.6
19961108-01:00,Smoke,,0,0,,N/A,,1014,0,0,,0,0,2,0,North,,,0
19961108-02:00,Smoke,8,0,0,,59,,1015,0,0,16,0,0,2,240,WSW,,,7.4
19961108-03:00,Smoke,7,0,0,,49,,1016,0,0,18,0,0,2.5,240,WSW,,,9.3
19961108-04:00,Smoke,9,0,0,,46,,1016,0,0,21,0,0,3,240,WSW,,,7.4
19961108-05:00,Smoke,9,0,0,,38,,1016,0,0,24,0,0,4,280,West,,,5.6
19961108-06:00,Smoke,9,0,0,,32,,1016,0,0,27,0,0,4,270,West,,,9.3
19961108-07:00,Smoke,5,0,0,,23,,1015,0,0,28,0,0,5,300,WNW,,,5.6
19961108-08:00,Haze,6,0,0,,23,,1014,0,0,29,0,0,5,0,North,,,0
19961108-09:00,Haze,6,0,0,,23,,1014,0,0,29,0,0,5,0,North,,,0
19961108-10:00,Haze,6,0,0,,25,,1014,0,0,28,0,0,5,300,WNW,,,5.6
19961108-11:00,Smoke,6,0,0,,26,,1014,0,0,27,0,0,3.5,0,North,,,0
19961108-12:00,Smoke,9,0,0,,41,,1014,0,0,23,0,0,3,0,North,,,0
19961108-13:00,Smoke,9,0,0,,46,,1015,0,0,21,0,0,2.4,0,North,,,0
19961108-14:00,Smoke,10,0,0,,49,,1015,0,0,21,0,0,1.7,0,North,,,0
19961108-15:00,Smoke,9,0,0,,49,,1015,0,0,20,0,0,1.2,0,North,,,0
19961108-16:00,Smoke,9,0,0,,49,,1015,0,0,20,0,0,,0,North,,,0
19961108-17:00,Smoke,10,0,0,,56,,1015,0,0,19,0,0,,0,North,,,0
19961108-18:00,Smoke,9,0,0,,52,,1015,0,0,19,0,0,0.8,0,North,,,0
19961108-19:00,Smoke,10,0,0,,59,,1015,0,0,18,0,0,1,0,North,,,0
19961108-20:00,Smoke,9,0,0,,59,,1014,0,0,17,0,0,1.4,0,North,,,0
19961108-21:00,Smoke,9,0,0,,59,,1014,0,0,17,0,0,1.5,0,North,,,0
19961108-22:00,Unknown,8,0,0,,59,,1014,0,0,16,0,0,1.6,0,North,,,0
19961108-23:00,Smoke,8,0,0,,59,,1014,0,0,16,0,0,2,0,North,,,0
19961109-00:00,Smoke,7,0,0,,55,,1014,0,0,16,0,0,2,0,North,,,0
19961109-01:00,Smoke,7,0,0,,59,,1014,0,0,15,0,0,2,210,SSW,,,5.6
19961109-02:00,Smoke,6,0,0,,52,,1015,0,0,16,0,0,2,230,SW,,,9.3
19961109-03:00,Smoke,7,0,0,,49,,1016,0,0,18,0,0,2.5,240,WSW,,,13
19961109-04:00,Smoke,9,0,0,,46,,1016,0,0,21,0,0,3.5,270,West,,,9.3
19961109-05:00,Smoke,9,0,0,,38,,1016,0,0,24,0,0,5,240,WSW,,,9.3
19961109-07:00,Smoke,7,0,0,,28,,1014,0,0,27,0,0,5,270,West,,,11.1
19961109-08:00,Smoke,8,0,0,,28,,1013,0,0,28,0,0,5,270,West,,,11.1
19961109-09:00,Clear,7,0,0,,26,,1013,0,0,28,0,0,6,290,WNW,,,11.1
19961109-11:00,Smoke,8,0,0,,30,,1012,0,0,27,0,0,4.5,280,West,,,7.4
19961109-12:00,Smoke,7,0,0,,32,,1013,0,0,25,0,0,3.5,280,West,,,7.4
19961109-13:00,Smoke,8,0,0,,43,,1013,0,0,21,0,0,2.8,0,North,,,0
19961109-14:00,Smoke,8,0,0,,46,,1014,0,0,20,0,0,2,0,North,,,0
19961109-15:00,Smoke,9,0,0,,52,,1014,0,0,19,0,0,,0,North,,,
19961109-16:00,Smoke,9,0,0,,52,,1014,0,0,19,0,0,1.5,0,North,,,0
19961109-17:00,Smoke,9,0,0,,56,,1014,0,0,18,0,0,1,0,North,,,0
19961109-18:00,Smoke,8,0,0,,55,,1014,0,0,17,0,0,1,0,North,,,0
19961109-19:00,Smoke,8,0,0,,55,,1014,0,0,17,0,0,1.2,0,North,,,0
19961109-20:00,Clear,8,0,0,,55,,1013,0,0,17,0,0,,0,North,,,
19961109-21:00,Smoke,8,0,0,,63,,1013,0,0,15,0,0,,0,North,,,
19961109-22:00,Smoke,7,0,0,,59,,1013,0,0,15,0,0,2,0,North,,,0
19961109-23:00,Smoke,7,0,0,,59,,1013,0,0,15,0,0,2,0,North,,,0
19961110-00:00,Smoke,7,0,0,,63,,1013,0,0,14,0,0,,0,North,,,
19961110-01:00,Smoke,7,0,0,,63,,1013,0,0,14,0,0,2,0,North,,,0
19961110-02:00,Smoke,7,0,0,,59,,1014,0,0,15,0,0,2.5,230,SW,,,7.4
19961110-03:00,Smoke,7,0,0,,49,,1014,0,0,18,0,0,3,260,West,,,9.3
19961110-04:00,Smoke,8,0,0,,41,,1015,0,0,22,0,0,4,220,SW,,,7.4
19961110-05:00,Smoke,8,0,0,,36,,1014,0,0,24,0,0,5,250,WSW,,,14.8
19961110-06:00,Clear,7,0,0,,30,,1013,0,0,26,0,0,6,240,WSW,,,14.8
19961110-07:00,Clear,6,0,0,,25,,1012,0,0,28,0,0,6,270,West,,,22.2
19961110-08:00,Clear,5,0,0,,22,,1012,0,0,29,0,0,6,270,West,,,14.8
19961110-09:00,Clear,4,0,0,,20,,1011,0,0,29,0,0,6,270,West,,,18.5
19961110-10:00,Clear,4,0,0,,20,,1011,0,0,29,0,0,,280,West,,,22.2
19961110-11:00,Clear,5,0,0,,24,,1011,0,0,27,0,0,6,290,WNW,,,5.6
19961110-12:00,Smoke,6,0,0,,33,,1011,0,0,23,0,0,4,0,North,,,0
19961110-13:00,Smoke,7,0,0,,40,,1011,0,0,21,0,0,3,0,North,,,0
19961110-15:00,Smoke,9,0,0,,56,,1012,0,0,18,0,0,1.2,0,North,,,0
19961110-16:00,Smoke,8,0,0,,49,,-9999,0,0,19,0,0,2,0,North,,,0
19961110-18:00,Smoke,7,0,0,,49,,1012,0,0,18,0,0,1.5,0,North,,,0
19961110-19:00,Smoke,6,0,0,,48,,1011,0,0,17,0,0,1.5,0,North,,,0
19961110-20:00,Smoke,7,0,0,,55,,1011,0,0,16,0,0,1.5,0,North,,,0
19961110-21:00,Smoke,7,0,0,,59,,1011,0,0,15,0,0,1.5,0,North,,,0
19961110-22:00,Smoke,8,0,0,,67,,1011,0,0,14,0,0,1.4,0,North,,,0
19961110-23:00,Smoke,7,0,0,,63,,1011,0,0,14,0,0,2,0,North,,,0
19961111-00:00,Smoke,7,0,0,,63,,1012,0,0,14,0,0,1.5,0,North,,,0
19961111-01:00,Smoke,7,0,0,,59,,1012,0,0,15,0,0,2,0,North,,,0
19961111-02:00,Smoke,7,0,0,,49,,1013,0,0,18,0,0,1.5,0,North,,,0
19961111-03:00,Smoke,5,0,0,,40,,1014,0,0,19,0,0,3,0,North,,,0
19961111-04:00,Smoke,7,0,0,,34,,1014,0,0,24,0,0,3,0,North,,,0
19961111-05:00,Smoke,7,0,0,,28,,1014,0,0,27,0,0,4,150,SSE,,,9.3
19961111-06:00,Smoke,4,0,0,,21,,1014,0,0,28,0,0,4.5,230,SW,,,5.6
19961111-07:00,Clear,4,0,0,,20,,1012,0,0,29,0,0,6,250,WSW,,,14.8
